character	syllable	initial	medial	nuclues	terminal	tone	percentage
嵦	ŋai	ŋ	undefined	undefined	undefined	0	null
溰	ŋioi	ŋ	undefined	undefined	undefined	0	null
㱯	cai	c	undefined	undefined	undefined	0	null
㱯	ŋai	ŋ	undefined	undefined	undefined	0	null
皚	ŋai	ŋ	undefined	undefined	undefined	0	null
癌	ŋrem	ŋr	undefined	undefined	undefined	0	null
䶣	cai	c	undefined	undefined	undefined	0	null
毐	qai	q	undefined	undefined	undefined	0	null
毐	qai	q	undefined	undefined	undefined	1	null
㢊	qre	qr	undefined	undefined	undefined	1	null
矮	qre	qr	undefined	undefined	undefined	1	null
躷	qre	qr	undefined	undefined	undefined	1	null
䑂	j-ai	j-	undefined	undefined	undefined	1	null
藹	qad	q	undefined	undefined	undefined	2	null
靄	qad	q	undefined	undefined	undefined	2	null
靄	qan	q	undefined	undefined	undefined	3	null
艾	ŋad	ŋ	undefined	undefined	undefined	2	null
艾	ŋiad	ŋ	undefined	undefined	undefined	2	10
㤅	qai	q	undefined	undefined	undefined	2	null
砹	qad	q	undefined	undefined	undefined	2	null
硋	ŋai	ŋ	undefined	undefined	undefined	2	null
隘	qre	qr	undefined	undefined	undefined	2	null
嗌	qjeŋ	qj	undefined	undefined	undefined	3	null
愛	qai	q	undefined	undefined	undefined	2	null
㾢	lai	l	undefined	undefined	undefined	0	null
㾢	lai	l	undefined	undefined	undefined	2	null
䔽	qad	q	undefined	undefined	undefined	2	null
䔽	qied	q	undefined	undefined	undefined	2	null
䅬	qre	qr	undefined	undefined	undefined	2	null
僾	qai	q	undefined	undefined	undefined	2	null
僾	qioi	q	undefined	undefined	undefined	1	null
壒	qad	q	undefined	undefined	undefined	2	null
鴱	ŋad	ŋ	undefined	undefined	undefined	2	null
薆	qai	q	undefined	undefined	undefined	2	null
噯	qai	q	undefined	undefined	undefined	2	null
㿄	qi	q	undefined	undefined	undefined	0	null
㿄	qre	qr	undefined	undefined	undefined	2	null
嬡	qai	q	undefined	undefined	undefined	2	null
璦	qai	q	undefined	undefined	undefined	2	null
賹	qre	qr	undefined	undefined	undefined	2	null
曖	qad	q	undefined	undefined	undefined	2	null
曖	qai	q	undefined	undefined	undefined	2	null
馤	qad	q	undefined	undefined	undefined	2	null
礙	ŋai	ŋ	undefined	undefined	undefined	2	null
譺	ŋi	ŋ	undefined	undefined	undefined	2	null
譺	ŋi	ŋ	undefined	undefined	undefined	1	null
譺	ŋrai	ŋr	undefined	undefined	undefined	2	null
安	qan	q	undefined	undefined	undefined	0	null
侒	qan	q	undefined	undefined	undefined	0	null
䢿	qan	q	undefined	undefined	undefined	0	null
䢿	qan	q	undefined	undefined	undefined	2	null
桉	qan	q	undefined	undefined	undefined	0	null
氨	qan	q	undefined	undefined	undefined	0	null
㞄	qom	q	undefined	undefined	undefined	0	null
㞄	qom	q	undefined	undefined	undefined	1	null
庵	qom	q	undefined	undefined	undefined	0	null
庵	qom	q	undefined	undefined	undefined	3	null
䀂	qan	q	undefined	undefined	undefined	0	null
媕	qiem	q	undefined	undefined	undefined	1	null
媕	qom	q	undefined	undefined	undefined	0	null
媕	qom	q	undefined	undefined	undefined	3	null
腤	qom	q	undefined	undefined	undefined	0	null
鞍	qan	q	undefined	undefined	undefined	0	null
鞌	qan	q	undefined	undefined	undefined	0	null
盦	qam	q	undefined	undefined	undefined	3	null
盦	qom	q	undefined	undefined	undefined	0	null
諳	qom	q	undefined	undefined	undefined	0	null
闇	qom	q	undefined	undefined	undefined	2	null
馣	qom	q	undefined	undefined	undefined	0	null
鵪	qom	q	undefined	undefined	undefined	0	null
韽	qom	q	undefined	undefined	undefined	0	null
韽	qrem	qr	undefined	undefined	undefined	2	null
䳺	qom	q	undefined	undefined	undefined	0	null
