character	syllable	initial	medial	nuclues	terminal	tone	percentage
㐀	qjəu	qj	null	ə	u	0	undefined
㐁	dou	d	null	o	u	2	undefined
㐂	ʦ'ən	ʦ'	null	ə	n	3	undefined
㐃	ʦim	ʦ	null	i	m	0	undefined
㐄	cv'a	cv'	null	a		0	undefined
㐅	ŋ		null	ŋ		1	undefined
㐅	m		null	m		1	undefined
㐆	qi	q	null	i		0	undefined
㐇	cəu	c	null	ə	u	1	undefined
㐈	jəm	j	null	ə	m	3	undefined
㐉	tiŋ	t	null	i	ŋ	0	undefined
㐊	zi	z	null	i		2	undefined
㐋	t'ou	t'	null	o	u	1	undefined
㐌	i		null	i		0	undefined
㐍	ʦau	ʦ	null	a	u	1	undefined
㐎	mən	m	null	ə	n	0	undefined
㐏	ŋ		null	ŋ		1	undefined
㐏	m		null	m		1	undefined
㐐	nou	n	null	o	u	0	undefined
㐑	tuŋ	t	null	u	ŋ	0	undefined
㐒	ʣiu	ʣ	null	i	u	2	undefined
㐓	xo	x	null	o		1	undefined
㐔	xəŋ	x	null	ə	ŋ	0	undefined
㐕	jəu	j	null	ə	u	0	undefined
㐖	c'in	c'	null	i	n	3	undefined
㐗	lou	l	null	o	u	1	undefined
㐘	məi	m	null	ə	i	1	undefined
㐙	dəu	d	null	ə	u	2	undefined
㐚	ŋ		null	ŋ		0	undefined
㐚	m		null	m		0	undefined
㐛	jəu	j	null	ə	u	2	undefined
㐜	zəu	z	null	ə	u	0	undefined
㐝	c'øi	c'	null	ø	i	0	undefined
㐞	g'ei	g'	null	e	i	0	undefined
㐟	fei	f	null	e	i	0	undefined
㐠	y		null	y		1	undefined
㐡	no	n	null	o		2	undefined
㐢	wəu	w	null	ə	u	0	undefined
㐣	fu	f	null	u		2	undefined
㐤	tan	t	null	a	n	0	undefined
㐥	ʣ'o	ʣ'	null	o		0	undefined
㐦	cøi	c	null	ø	i	1	undefined
㐧	ʣ'oi	ʣ'	null	o	i	0	undefined
㐨	ʣøi	ʣ	null	ø	i	2	undefined
㐩	iŋ		null	i	ŋ	0	undefined
㐪	si	s	null	i		1	undefined
㐫	xuŋ	x	null	u	ŋ	0	undefined
㐬	ləu	l	null	ə	u	0	undefined
㐭	ləm	l	null	ə	m	1	undefined
㐮	søŋ	s	null	ø	ŋ	0	undefined
㐯	juŋ	j	null	u	ŋ	0	undefined
㐰	søn	s	null	ø	n	2	undefined
㐱	ʦj'ən	ʦj'	null	ə	n	1	undefined
